City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Ambon,ID,2021-11-15 23:45:00,-3.6954,128.1814,82.36,74,90,4.36
190,Cooma,AU,2021-11-15 23:45:00,-36.2333,149.1333,46.17,61,40,14.97
191,Garowe,SO,2021-11-15 23:45:01,8.4054,48.4845,68.14,80,54,8.39
192,Pergamino,AR,2021-11-15 23:45:01,-33.89,-60.5736,77.18,59,21,4.16
193,Fortuna,US,2021-11-15 23:45:01,40.5982,-124.1573,62.92,72,90,0.0
194,Nyamuswa,TZ,2021-11-15 23:45:02,-1.9,34.0167,67.51,66,100,4.99
195,Banda Aceh,ID,2021-11-15 23:45:02,5.5577,95.3222,78.67,81,99,9.93
196,Labuhan,ID,2021-11-15 23:45:03,-6.8844,112.2051,77.59,81,100,6.87
197,Tiksi,RU,2021-11-15 23:45:03,71.6872,128.8694,-9.17,94,98,6.04
198,Kyabe,TD,2021-11-15 23:45:03,9.4515,18.9449,79.11,30,56,1.01
199,Karpathos,GR,2021-11-15 23:45:04,35.507,27.2132,64.36,72,1,11.5
200,Rio Branco,BR,2021-11-15 23:45:04,-9.9747,-67.81,79.41,94,40,4.61
201,Pacific Grove,US,2021-11-15 23:41:42,36.6177,-121.9166,71.15,82,1,3.0
202,Klaksvik,FO,2021-11-15 23:45:04,62.2266,-6.589,49.12,93,100,38.32
203,Torbay,CA,2021-11-15 23:45:04,47.6666,-52.7314,41.58,97,90,8.05
204,Mayna,RU,2021-11-15 23:45:05,54.1135,47.6231,15.98,96,90,6.04
205,Saldanha,ZA,2021-11-15 23:45:05,-33.0117,17.9442,60.85,94,83,10.83
206,Bowen,AU,2021-11-15 23:45:05,-20.0167,148.2333,82.62,68,35,13.24
207,Jijiga,ET,2021-11-15 23:45:06,9.35,42.8,62.15,52,4,0.6
208,Conceicao Da Barra,BR,2021-11-15 23:40:18,-18.5933,-39.7322,68.47,74,34,5.86
209,Bonavista,CA,2021-11-15 23:45:06,48.6499,-53.1147,43.12,90,100,13.96
210,Panama City,PA,2021-11-15 23:45:06,8.9936,-79.5197,82.06,78,40,6.91
211,Hovd,MN,2021-11-15 23:45:07,48.0056,91.6419,23.05,43,5,3.71
212,Ahuimanu,US,2021-11-15 23:45:07,21.4447,-157.8378,82.11,69,90,5.75
213,Kodiak,US,2021-11-15 23:40:15,57.79,-152.4072,31.51,55,1,0.0
214,Kijang,KR,2021-11-15 23:45:07,35.2442,129.2139,44.33,48,100,2.93
215,Nanning,CN,2021-11-15 23:45:08,22.8167,108.3167,64.85,77,100,5.23
216,San Carlos De Bariloche,AR,2021-11-15 23:45:08,-41.1456,-71.3082,47.95,40,20,13.8
217,Marquette,US,2021-11-15 23:45:08,46.5333,-87.6335,30.34,92,89,3.56
218,Dingle,PH,2021-11-15 23:45:08,10.9995,122.6711,79.5,89,99,7.96
219,Alyangula,AU,2021-11-15 23:45:09,-13.8483,136.4192,85.87,54,95,6.91
220,Jining,CN,2021-11-15 23:45:09,35.405,116.5814,50.0,1,8,5.57
221,Hay River,CA,2021-11-15 23:45:09,60.8156,-115.7999,21.18,79,75,4.61
222,Kruisfontein,ZA,2021-11-15 23:45:10,-34.0033,24.7314,62.89,73,100,14.7
223,Zory,PL,2021-11-15 23:41:20,50.0452,18.7006,42.55,93,3,2.59
224,Sergeyevka,KZ,2021-11-15 23:45:10,53.88,67.4158,1.0,99,96,3.22
225,Tiarei,PF,2021-11-15 23:45:10,-17.5333,-149.3333,86.02,77,74,15.46
